timestep,demand,raw_core_demand,active_vm_count
640,0.9247682919085629,104920.98390256517,842278
641,0.9242158492533716,104858.30568636813,842266
642,0.9231361674507258,104735.80875602734,841470
643,0.923398666799723,104765.59101630979,841827
644,0.9249519164210552,104941.81729909044,842692
645,0.927149395857493,105191.13564898852,843936
646,0.9271625009998035,105192.62251271149,844069
647,0.9297309528180712,105484.03009473706,845335
648,0.9299467883909867,105508.5180457942,845724
649,0.9283750539876511,105330.19454414047,844666
650,0.9274600868906138,105226.38556961183,844704
651,0.9267983760536931,105151.31016675019,844675
652,0.9263048869003698,105095.32060918755,843881
653,0.9255483236094239,105009.48357783044,842415
654,0.9247545703570781,104919.42710320791,841825
655,0.9231170742222046,104733.6425049352,840840
656,0.9246641202544932,104909.16495014717,844336
657,0.9235963126644288,104788.01522653698,843575
658,0.9233217071937457,104756.85944792606,842788
659,0.9226155250480566,104676.73848553102,841967
660,0.9228256717018739,104700.58099167583,842300
661,0.9232290447601985,104746.34629151311,842207
662,0.923994786308397,104833.22465591534,841754
663,0.9237961677225016,104810.69008413577,841407
664,0.9243101534499353,104869.00511148486,841720
665,0.9260946967412031,105071.4731670776,841734
666,0.9253714919592733,104989.42087576631,841330
667,0.9250206752526238,104949.61843622207,838699
668,0.9243188894816041,104869.99627115818,838731
669,0.9240026888586862,104834.12125169931,839452
670,0.9226472674181982,104680.33986409883,838633
671,0.9222931706947025,104640.16528528713,839015
672,0.9226640327649188,104682.2420018438,839348
673,0.922862627208552,104704.77383452654,838264
674,0.9219775125679168,104604.35181554667,835955
675,0.9223968679336315,104651.9304122185,835964
676,0.9225618000607364,104670.64303591505,836523
677,0.9204105715360111,104426.5721530914,834736
678,0.919145171802672,104283.00431430015,833388
679,0.9193048332415791,104301.1189441031,832243
680,0.9200808901941554,104389.16765829582,832831
681,0.9191022190520145,104278.13104507182,831004
682,0.9188845068541499,104253.43017869543,830820
683,0.9176600744258218,104114.51034739666,830718
684,0.9176439061166839,104112.67594745276,831112
685,0.9174816952254685,104094.2720656859,830664
686,0.918159730011052,104171.19952680891,831262
687,0.9183184570501689,104189.20814287176,831395
688,0.9190878480847626,104276.50056526742,834322
689,0.9184282288508999,104201.66246839118,833188
690,0.9172187382361533,104064.43788312968,832025
691,0.917646155022457,104112.9311004554,832329
692,0.9171421282612325,104055.74598266579,832001
693,0.9167054906162403,104006.20659888464,830840
694,0.9157485759570988,103897.63840031384,829565
695,0.9144640964399697,103751.90583582276,828843
696,0.9154659883963926,103865.57700161825,830752
697,0.9155972970005737,103880.47481771564,830300
698,0.9146038220835642,103767.75861984512,829537
699,0.9141327608287475,103714.31365339656,829919
700,0.9153287581582596,103850.00733759314,831271
701,0.9147877866608912,103788.63059894004,830219
702,0.9140946820305826,103709.9933658129,829893
703,0.9134066862088476,103631.935760282,829359
704,0.9167046539343282,104006.11167187407,830890
705,0.9169160928259689,104030.10079081371,828662
706,0.9159186425143001,103916.93355853521,827537
707,0.9149997630766048,103812.68070348559,826808
708,0.9148437844244792,103794.9839098217,826686
709,0.9141575747010401,103717.12894877179,825508
710,0.9135997688039641,103653.84223786274,824676
711,0.9125665872169437,103536.62105974853,824322
712,0.9137092281447171,103666.26111276321,826135
713,0.9160292893501832,103929.48716249,827463
714,0.9157785622669019,103901.0405424025,827830
715,0.9144344293046986,103748.53990616291,827514
716,0.914578843144286,103764.9245965456,828065
717,0.9132890923851219,103618.59397532449,826370
718,0.9151385088804046,103828.42231830349,827623
719,0.917474191579229,104093.42072816365,829466
720,0.9190264991402932,104269.54012807312,832135
721,0.9186648561856869,104228.50938020826,831552
722,0.9188235211828403,104246.51095720638,832662
723,0.9178747922062352,104138.87147761649,832850
724,0.9188432570586033,104248.75012081239,834891
725,0.9189680199431703,104262.90528240026,835555
726,0.9196686376982572,104342.39492845161,837413
727,0.9208384188486488,104475.11421643288,837927
728,0.9226305278993128,104678.44065668993,840416
729,0.923251515282279,104748.89571854917,841151
730,0.9235515096242574,104782.932029916,841516
731,0.9224726290995298,104660.52600977218,841231
732,0.9216237829475237,104564.21888697217,841159
733,0.9220583532038761,104613.52371205132,841057
734,0.9221912757015918,104628.6046348783,841119
735,0.9245471829007059,104895.89764597846,842966
736,0.925403843771928,104993.09139955531,843721
737,0.9262577498524526,105089.97260419103,843254
738,0.9264539852864911,105112.2367918757,842895
739,0.927513051826296,105232.39478642077,842657
740,0.9271969311682378,105196.5288394959,842445
741,0.9271301150379708,105188.9481144759,842296
742,0.9261259411329682,105075.01804675623,842217
743,0.9252377645362069,104974.2486289174,841922
744,0.9252738728829792,104978.34535596092,842784
745,0.9283653050274316,105329.08846112789,843139
746,0.927085265217002,105183.85961026888,841975
747,0.9267969222283652,105151.14522080086,842583
748,0.9284369779894647,105337.22022533468,843939
749,0.9274506476553379,105225.31462691072,843150
750,0.9260395632729109,105065.21791612469,842400
751,0.9261076441785101,105072.94213814111,842399
752,0.9272020822752491,105197.1132661253,843798
753,0.9275313252705736,105234.46802765284,847771
754,0.9264693023110294,105113.97460803903,844782
755,0.9264890480263995,105116.21488801253,841029
756,0.9260924649510403,105071.21995595239,840959
757,0.9250116122414906,104948.59017859957,840225
758,0.9252190032709456,104972.12004121853,839941
759,0.9269420971197987,105167.61625747071,841643
760,0.9299463980779206,105508.47376223552,846701
761,0.9278344151407023,105268.85554684338,844819
762,0.9270119056008294,105175.53648416811,842562
763,0.9264728181105731,105114.37349838871,842411
764,0.9242633519516608,104863.6951767801,839914
765,0.9238680008915319,104818.84002486951,838744
766,0.9236522085141756,104794.3569746298,838218
767,0.9236027049981728,104788.74047842085,838683
768,0.9239564532465907,104828.87552046606,839516
769,0.9229214816675535,104711.45125610285,837300
770,0.9232742362540118,104751.47356072899,837999
771,0.9223804776507893,104650.07082791258,837061
772,0.922102192919707,104618.49761325362,837065
773,0.9207199078136854,104461.66836788847,835569
774,0.9198368961531891,104361.48494569791,836283
775,0.9189373191855045,104259.4220815498,835625
776,0.9199930931326634,104379.20651002106,836803
777,0.9189050803501138,104255.76437576699,834369
778,0.9183296046351357,104190.47290896841,833317
779,0.9179201670157483,104144.01954519207,832952
780,0.9185476117406447,104215.2072345372,834014
781,0.9178017244653087,104130.5814666628,832141
782,0.9172766582323697,104071.00928381873,831600
783,0.9172285020175779,104065.54564770448,831511
784,0.9187238164969752,104235.19881141571,832586
785,0.9175282263715406,104099.55132717305,831390
786,0.917514308349646,104097.97223696856,831756
787,0.9169926795099477,104038.7900487686,831322
788,0.9175417218683484,104101.08247915535,831753
789,0.9168366598088903,104021.08859783612,830743
790,0.9162784991328746,103957.76163494641,829837
791,0.9153939446316958,103857.40316743495,829015
792,0.9160213655253429,103928.58815296966,830572
793,0.9146645243078066,103774.64568241886,829193
794,0.9136724954713181,103662.0935517989,828387
795,0.913547136651165,103647.87077743866,828482
796,0.9152520855636267,103841.30833251518,829806
797,0.9146328592289634,103771.05307305211,828994
798,0.9139894156871232,103698.05021375608,828462
799,0.9132784564401721,103617.38725811908,828064
